Passenger_ID,Passenger_Name,Age,Gender,Nationality,Travel_Class,Flight_ID,Booking_Channel,Ticket_Price_USD,Satisfaction_Score,Satisfaction_Level
PS00001,Noah Smith,52,Female,Canadian,Economy,FL03578,Mobile App,890.0,3.8,Satisfied
PS00002,Isha Reddy,46,Female,British,Premium Economy,FL04512,Travel Agent,725.0,4.4,Very Satisfied
PS00003,Rohan Gupta,38,Female,Canadian,Premium Economy,FL03411,Website,259.0,4.2,Very Satisfied
PS00004,Noah Reddy,20,Male,American,Business,FL01574,Website,1439.0,4.9,Very Satisfied
PS00005,Kabir Singh,49,Male,Canadian,Economy,FL00761,Website,659.0,4.5,Very Satisfied
PS00006,Nisha Patel,69,Female,Singaporean,Premium Economy,FL01572,Airport Counter,1007.0,2.6,Dissatisfied
PS00007,Olivia Kumar,55,Female,UAE,Economy,FL04776,Travel Agent,618.0,4.2,Very Satisfied
PS00008,Noah Taylor,24,Male,UAE,Business,FL02740,Travel Agent,1365.0,3.4,Satisfied
PS00009,Sneha Singh,33,Female,American,Economy,FL02849,Website,129.0,5.0,Very Satisfied
PS00010,Aarav Nair,45,Female,German,Economy,FL01839,Website,1130.0,3.6,Satisfied
PS00011,Diya Taylor,57,Male,American,Economy,FL02473,Travel Agent,233.0,4.4,Very Satisfied
PS00012,Noah Joseph,64,Female,UAE,Economy,FL03395,Website,1369.0,3.3,Satisfied
PS00013,Aditya Brown,53,Male,American,Economy,FL02625,Mobile App,373.0,4.4,Very Satisfied
PS00014,Vikram Brown,73,Male,German,Economy,FL01208,Mobile App,184.0,3.5,Satisfied
PS00015,Aarav Taylor,68,Female,Indian,Economy,FL02041,Website,1317.0,4.8,Very Satisfied
PS00016,Sneha Iyer,53,Male,British,Economy,FL04152,Travel Agent,1352.0,3.8,Satisfied
PS00017,Priya Reddy,61,Male,American,Business,FL00915,Airport Counter,1135.0,2.2,Dissatisfied
PS00018,Aisha Iyer,49,Male,Singaporean,Economy,FL01394,Website,225.0,3.9,Satisfied
PS00019,Vikram Thomas,20,Male,Australian,Economy,FL04891,Website,144.0,4.6,Very Satisfied
PS00020,Olivia Martin,42,Male,German,Economy,FL01603,Mobile App,341.0,4.4,Very Satisfied
PS00021,Kabir Nair,32,Male,Canadian,Premium Economy,FL03869,Mobile App,358.0,4.3,Very Satisfied
PS00022,Emma Sharma,73,Female,Singaporean,Premium Economy,FL01159,Travel Agent,1259.0,4.4,Very Satisfied
PS00023,Arjun Reddy,42,Male,Singaporean,Economy,FL01616,Airport Counter,107.0,2.5,Dissatisfied
PS00024,Rohan Kumar,54,Female,Singaporean,Business,FL01604,Travel Agent,247.0,4.6,Very Satisfied
PS00025,Diya Brown,40,Female,German,Premium Economy,FL04967,Mobile App,775.0,2.9,Dissatisfied
PS00026,Priya Patel,49,Female,German,Economy,FL03659,Mobile App,520.0,5.0,Very Satisfied
PS00027,Aditya Iyer,26,Female,UAE,Economy,FL00530,Mobile App,908.0,5.0,Very Satisfied
PS00028,Kabir Wilson,46,Female,British,Business,FL00437,Website,792.0,4.2,Very Satisfied
PS00029,Noah Joseph,73,Male,American,Business,FL01723,Mobile App,986.0,3.0,Dissatisfied
PS00030,Rahul Reddy,39,Female,British,Economy,FL02900,Website,766.0,3.8,Satisfied
PS00031,Noah Martin,35,Female,German,Economy,FL02536,Travel Agent,1415.0,4.6,Very Satisfied
PS00032,Aarav Brown,34,Female,American,Economy,FL02111,Website,1449.0,4.1,Very Satisfied
PS00033,Isha Joseph,36,Female,Indian,Economy,FL00895,Website,1256.0,4.5,Very Satisfied
PS00034,Daniel Martin,36,Male,German,Economy,FL01829,Website,1248.0,2.9,Dissatisfied
PS00035,Ananya Gupta,32,Male,German,Economy,FL03790,Website,427.0,4.2,Very Satisfied
PS00036,Aarav Singh,42,Male,Singaporean,Business,FL02401,Travel Agent,1066.0,4.1,Very Satisfied
PS00037,Olivia Wilson,51,Male,Singaporean,Economy,FL03610,Website,654.0,3.0,Dissatisfied
PS00038,Isha Iyer,62,Male,American,Economy,FL03109,Website,967.0,3.4,Satisfied
PS00039,Karan Patel,44,Male,German,Economy,FL04618,Travel Agent,230.0,3.6,Satisfied
PS00040,Priya Brown,72,Male,UAE,Economy,FL00227,Travel Agent,1347.0,4.5,Very Satisfied
PS00041,Meera Sharma,71,Female,UAE,Economy,FL01988,Airport Counter,101.0,3.3,Satisfied
PS00042,Meera Gupta,25,Male,Australian,Business,FL01530,Airport Counter,1249.0,4.3,Very Satisfied
PS00043,Aarav Joseph,53,Female,Australian,Business,FL04127,Travel Agent,142.0,4.5,Very Satisfied
PS00044,Isha Iyer,23,Female,Indian,Economy,FL04822,Mobile App,426.0,3.8,Satisfied
PS00045,Priya Reddy,44,Female,Singaporean,Premium Economy,FL02714,Website,1332.0,5.0,Very Satisfied
PS00046,Aditya Brown,57,Female,Australian,Economy,FL01941,Mobile App,1330.0,3.0,Dissatisfied
PS00047,Arjun Iyer,63,Other,German,Economy,FL00058,Travel Agent,1225.0,3.6,Satisfied
PS00048,Ananya Smith,45,Male,German,Economy,FL03974,Travel Agent,704.0,3.9,Satisfied
PS00049,Ananya Nair,66,Female,Australian,Premium Economy,FL04497,Travel Agent,1453.0,4.6,Very Satisfied
PS00050,Aisha Brown,69,Female,Canadian,Economy,FL03072,Travel Agent,111.0,4.4,Very Satisfied
PS00051,Aditya Brown,54,Male,UAE,Economy,FL02983,Travel Agent,860.0,2.5,Dissatisfied
PS00052,Rahul Martin,44,Female,Indian,Economy,FL01652,Website,564.0,4.1,Very Satisfied
PS00053,Isha Smith,55,Female,American,Economy,FL03931,Website,1498.0,4.0,Satisfied
PS00054,Isha Martin,49,Male,UAE,Premium Economy,FL04400,Mobile App,1168.0,4.5,Very Satisfied
PS00055,Aditya Joseph,49,Female,UAE,Economy,FL04992,Website,522.0,3.3,Satisfied
PS00056,Noah Joseph,21,Male,Canadian,First,FL02293,Website,295.0,3.9,Satisfied
PS00057,Vikram Wilson,30,Female,British,Premium Economy,FL03889,Travel Agent,1172.0,3.5,Satisfied
PS00058,Ananya Joseph,52,Male,Indian,Premium Economy,FL02469,Travel Agent,1026.0,3.0,Dissatisfied
PS00059,Arjun Reddy,54,Other,German,Business,FL04372,Travel Agent,398.0,2.1,Dissatisfied
PS00060,Kabir Singh,31,Female,Canadian,Premium Economy,FL04867,Mobile App,645.0,4.9,Very Satisfied
PS00061,Arjun Martin,62,Female,American,Economy,FL00049,Website,499.0,4.0,Satisfied
PS00062,Priya Singh,75,Male,UAE,Economy,FL00619,Airport Counter,874.0,4.0,Satisfied
PS00063,Karan Brown,57,Male,American,Economy,FL02466,Travel Agent,1415.0,2.4,Dissatisfied
PS00064,Karan Brown,56,Female,Singaporean,Economy,FL04562,Travel Agent,499.0,4.4,Very Satisfied
PS00065,Aisha Wilson,48,Male,British,Business,FL03180,Travel Agent,482.0,4.6,Very Satisfied
PS00066,Aditya Brown,64,Male,Singaporean,Premium Economy,FL03554,Travel Agent,113.0,4.7,Very Satisfied
PS00067,Emma Reddy,54,Male,Singaporean,Economy,FL04569,Website,624.0,4.3,Very Satisfied
PS00068,Meera Brown,51,Other,American,Economy,FL03887,Website,1284.0,4.5,Very Satisfied
PS00069,Meera Taylor,48,Male,Canadian,Premium Economy,FL01487,Travel Agent,1123.0,3.6,Satisfied
PS00070,Nisha Thomas,57,Male,Canadian,Economy,FL01264,Travel Agent,178.0,4.0,Satisfied
PS00071,Noah Patel,20,Female,Indian,Business,FL01060,Mobile App,375.0,3.6,Satisfied
PS00072,Aditya Patel,39,Female,American,Economy,FL00070,Travel Agent,243.0,4.6,Very Satisfied
PS00073,Aditya Iyer,61,Female,German,Economy,FL01476,Mobile App,760.0,3.9,Satisfied
PS00074,Diya Reddy,24,Female,British,Economy,FL02499,Website,465.0,4.1,Very Satisfied
PS00075,Rahul Sharma,61,Male,Canadian,Business,FL01194,Travel Agent,1030.0,3.7,Satisfied
PS00076,Ananya Patel,69,Male,Indian,Economy,FL04116,Website,357.0,3.7,Satisfied
PS00077,Emma Nair,60,Male,Canadian,Premium Economy,FL01639,Website,1227.0,3.7,Satisfied
PS00078,Aisha Brown,68,Female,German,Economy,FL01373,Travel Agent,138.0,2.8,Dissatisfied
PS00079,Karan Nair,72,Male,Singaporean,Economy,FL02437,Travel Agent,1025.0,4.4,Very Satisfied
PS00080,Kabir Thomas,42,Male,Australian,Economy,FL02696,Website,1036.0,5.0,Very Satisfied
PS00081,Isha Wilson,33,Female,British,Premium Economy,FL02974,Mobile App,1301.0,4.0,Satisfied
PS00082,Diya Brown,26,Male,British,Business,FL01662,Website,1219.0,2.2,Dissatisfied
PS00083,Ananya Reddy,28,Male,Canadian,Economy,FL03887,Airport Counter,1143.0,4.1,Very Satisfied
PS00084,Olivia Patel,64,Female,American,Business,FL03298,Airport Counter,398.0,4.6,Very Satisfied
PS00085,Arjun Gupta,61,Male,German,Economy,FL01878,Airport Counter,259.0,3.5,Satisfied
PS00086,Emma Kumar,51,Female,British,Economy,FL02478,Website,855.0,4.2,Very Satisfied
PS00087,Aditya Taylor,18,Other,UAE,Economy,FL04455,Travel Agent,827.0,3.3,Satisfied
PS00088,Diya Smith,18,Male,American,Premium Economy,FL03651,Airport Counter,699.0,3.0,Dissatisfied
PS00089,Aditya Patel,39,Male,Canadian,Premium Economy,FL01312,Mobile App,967.0,4.1,Very Satisfied
PS00090,Karan Reddy,46,Male,UAE,Business,FL03473,Airport Counter,710.0,4.0,Satisfied
PS00091,Kabir Singh,72,Female,Australian,Economy,FL02935,Mobile App,356.0,4.1,Very Satisfied
PS00092,Priya Thomas,23,Male,Indian,Economy,FL03569,Website,910.0,2.2,Dissatisfied
PS00093,Aarav Brown,46,Male,UAE,Premium Economy,FL01653,Website,1423.0,4.2,Very Satisfied
PS00094,Nisha Wilson,39,Male,German,Business,FL03786,Website,772.0,3.3,Satisfied
PS00095,Daniel Reddy,50,Female,Indian,Economy,FL01760,Website,944.0,2.0,Very Dissatisfied
PS00096,Karan Brown,40,Female,Canadian,Business,FL04037,Website,614.0,3.0,Dissatisfied
PS00097,Sneha Sharma,61,Female,British,Economy,FL03212,Website,770.0,4.9,Very Satisfied
PS00098,Aarav Gupta,53,Female,UAE,Economy,FL03952,Mobile App,722.0,4.1,Very Satisfied
PS00099,Kabir Taylor,38,Female,American,Economy,FL01516,Mobile App,950.0,1.5,Very Dissatisfied
PS00100,Rohan Thomas,32,Female,German,Business,FL00106,Website,1340.0,3.1,Satisfied
PS00101,Nisha Thomas,29,Male,German,Economy,FL04074,Airport Counter,314.0,2.9,Dissatisfied
PS00102,Isha Gupta,58,Male,Australian,Economy,FL00998,Website,944.0,3.6,Satisfied
PS00103,Isha Iyer,64,Female,Canadian,Economy,FL02945,Website,1414.0,4.4,Very Satisfied
PS00104,Arjun Sharma,42,Female,Singaporean,Premium Economy,FL03713,Website,211.0,4.6,Very Satisfied
PS00105,Arjun Singh,64,Male,Indian,Economy,FL03750,Travel Agent,354.0,3.8,Satisfied
PS00106,Priya Smith,47,Male,German,Premium Economy,FL00263,Mobile App,855.0,4.7,Very Satisfied
PS00107,Rahul Nair,50,Female,German,Economy,FL01457,Website,1364.0,4.0,Satisfied
PS00108,Karan Brown,59,Female,British,Economy,FL04712,Airport Counter,678.0,3.3,Satisfied
PS00109,Rohan Gupta,20,Male,Indian,Premium Economy,FL03886,Website,266.0,5.0,Very Satisfied
PS00110,Diya Reddy,29,Female,Canadian,Economy,FL03488,Mobile App,714.0,2.5,Dissatisfied
PS00111,Aditya Kumar,22,Male,Australian,Economy,FL02831,Website,184.0,3.3,Satisfied
PS00112,Rohan Joseph,66,Female,American,Economy,FL02108,Travel Agent,1170.0,5.0,Very Satisfied
PS00113,Kabir Smith,55,Male,Indian,Economy,FL04646,Travel Agent,236.0,3.8,Satisfied
PS00114,Meera Gupta,64,Female,American,Business,FL04104,Travel Agent,1106.0,4.8,Very Satisfied
PS00115,Isha Wilson,18,Male,Canadian,Economy,FL04262,Airport Counter,785.0,1.6,Very Dissatisfied
PS00116,Rahul Joseph,44,Female,Indian,Economy,FL04029,Mobile App,588.0,4.1,Very Satisfied
PS00117,Ananya Iyer,71,Male,UAE,Economy,FL03507,Website,180.0,4.4,Very Satisfied
PS00118,Rahul Iyer,32,Male,Canadian,Economy,FL02408,Mobile App,764.0,4.8,Very Satisfied
PS00119,Aarav Brown,21,Female,UAE,Economy,FL04515,Airport Counter,840.0,4.4,Very Satisfied
PS00120,Karan Smith,52,Male,Singaporean,Economy,FL01602,Mobile App,437.0,3.3,Satisfied
PS00121,Priya Nair,73,Female,Canadian,Economy,FL03236,Website,1226.0,5.0,Very Satisfied
PS00122,Arjun Brown,26,Female,American,Economy,FL01338,Mobile App,115.0,3.3,Satisfied
PS00123,Noah Singh,31,Male,UAE,Business,FL03166,Mobile App,390.0,2.7,Dissatisfied
PS00124,Emma Singh,53,Male,British,Economy,FL04390,Website,678.0,4.4,Very Satisfied
PS00125,Olivia Wilson,34,Male,Canadian,Economy,FL02974,Website,753.0,4.2,Very Satisfied
PS00126,Meera Thomas,70,Female,Australian,Economy,FL03531,Mobile App,196.0,3.8,Satisfied
PS00127,Karan Taylor,70,Male,Canadian,Economy,FL00538,Website,1089.0,3.7,Satisfied
PS00128,Arjun Joseph,42,Female,American,Economy,FL04854,Website,1400.0,4.6,Very Satisfied
PS00129,Kabir Reddy,52,Male,Indian,Economy,FL03055,Website,354.0,4.8,Very Satisfied
PS00130,Isha Smith,27,Male,British,Economy,FL04534,Website,1183.0,3.4,Satisfied
PS00131,Vikram Kumar,36,Female,Singaporean,Premium Economy,FL00840,Travel Agent,864.0,3.7,Satisfied
PS00132,Priya Brown,59,Male,Singaporean,Economy,FL02506,Website,487.0,4.4,Very Satisfied
PS00133,Rohan Reddy,47,Male,Australian,Economy,FL03489,Website,950.0,3.6,Satisfied
PS00134,Kabir Smith,74,Female,German,Business,FL02513,Website,658.0,3.6,Satisfied
PS00135,Ananya Smith,43,Male,UAE,Economy,FL01649,Website,1234.0,5.0,Very Satisfied
PS00136,Meera Patel,70,Female,Singaporean,Economy,FL02633,Mobile App,479.0,4.8,Very Satisfied
PS00137,Emma Taylor,51,Male,UAE,Business,FL00438,Airport Counter,624.0,3.0,Dissatisfied
PS00138,Priya Iyer,24,Male,German,Economy,FL00336,Mobile App,375.0,4.7,Very Satisfied
PS00139,Aditya Reddy,19,Female,Australian,Economy,FL02202,Website,96.0,5.0,Very Satisfied
PS00140,Priya Gupta,74,Male,American,Economy,FL04184,Mobile App,517.0,5.0,Very Satisfied
PS00141,Rahul Iyer,59,Female,Indian,Economy,FL01016,Website,157.0,2.7,Dissatisfied
PS00142,Daniel Thomas,64,Female,Australian,Economy,FL04112,Airport Counter,236.0,3.8,Satisfied
PS00143,Nisha Kumar,42,Female,Australian,Premium Economy,FL01616,Mobile App,156.0,3.9,Satisfied
PS00144,Isha Joseph,26,Other,German,Economy,FL03393,Mobile App,79.0,3.1,Satisfied
PS00145,Vikram Reddy,56,Other,Australian,Economy,FL04103,Website,1377.0,4.5,Very Satisfied
PS00146,Aditya Wilson,70,Female,German,First,FL01229,Website,205.0,4.0,Satisfied
PS00147,Isha Joseph,55,Male,Indian,Economy,FL00177,Airport Counter,370.0,4.9,Very Satisfied
PS00148,Daniel Smith,50,Female,British,Business,FL04245,Travel Agent,1230.0,5.0,Very Satisfied
PS00149,Arjun Kumar,57,Male,Singaporean,Economy,FL02129,Travel Agent,1481.0,4.3,Very Satisfied
PS00150,Kabir Smith,68,Male,German,Economy,FL04926,Mobile App,720.0,2.5,Dissatisfied
PS00151,Meera Wilson,48,Female,British,Economy,FL03954,Website,477.0,3.6,Satisfied
PS00152,Kabir Sharma,53,Female,Australian,First,FL03265,Website,1420.0,3.3,Satisfied
PS00153,Meera Thomas,31,Female,Canadian,Economy,FL01655,Website,324.0,4.0,Satisfied
PS00154,Emma Singh,44,Female,Singaporean,Economy,FL03448,Website,1197.0,4.1,Satisfied
PS00155,Nisha Wilson,73,Male,German,Economy,FL00137,Mobile App,357.0,4.3,Very Satisfied
PS00156,Arjun Reddy,58,Male,Indian,Premium Economy,FL03537,Website,753.0,3.8,Satisfied
PS00157,Sneha Smith,51,Male,American,Economy,FL03846,Website,355.0,4.1,Very Satisfied
PS00158,Priya Wilson,25,Female,German,First,FL00073,Travel Agent,803.0,4.6,Very Satisfied
PS00159,Isha Taylor,44,Male,UAE,Business,FL03006,Travel Agent,678.0,4.8,Very Satisfied
PS00160,Nisha Kumar,38,Male,British,Economy,FL00042,Website,1056.0,4.1,Very Satisfied
PS00161,Nisha Iyer,36,Female,American,Economy,FL01031,Website,1180.0,4.7,Very Satisfied
PS00162,Karan Martin,21,Female,Indian,Economy,FL00260,Website,1009.0,3.4,Satisfied
PS00163,Isha Wilson,27,Male,Singaporean,Business,FL02926,Website,1071.0,4.1,Very Satisfied
PS00164,Kabir Singh,65,Male,German,Economy,FL00548,Airport Counter,216.0,4.3,Very Satisfied
PS00165,Karan Smith,41,Female,British,Premium Economy,FL00613,Airport Counter,1096.0,2.5,Dissatisfied
PS00166,Aisha Patel,38,Male,Canadian,Economy,FL04857,Travel Agent,703.0,3.8,Satisfied
PS00167,Noah Thomas,31,Female,Singaporean,Economy,FL03290,Website,810.0,3.5,Satisfied
PS00168,Olivia Patel,26,Male,Singaporean,Premium Economy,FL03682,Website,1424.0,4.1,Very Satisfied
PS00169,Karan Smith,56,Female,Canadian,Economy,FL02791,Website,731.0,4.5,Very Satisfied
PS00170,Emma Patel,52,Female,British,Economy,FL03606,Mobile App,1355.0,4.4,Very Satisfied
PS00171,Noah Brown,19,Male,Singaporean,Economy,FL00947,Website,489.0,4.4,Very Satisfied
PS00172,Isha Thomas,34,Female,German,Economy,FL03604,Travel Agent,1077.0,2.9,Dissatisfied
